Время,Цена,Изменение,Изменение в процентах,Название
|Запись от 2024/03/27 23:35:20|:,70.49$,54.49$,340.56%,AMCEntertainment
|Запись от 2024/03/27 23:35:37|:,92.45₽,54.05₽,140.76%,Липецкаяэнергосбытоваякомпания
|Запись от 2024/03/27 23:35:44|:,11.69₽,3.056₽,35.40%,РБК
|Запись от 2024/03/27 23:35:52|:,2852₽,604₽,26.87%,Варьеганнефтегаз
|Запись от 2024/03/27 23:35:57|:,713₽,145.85₽,25.72%,ГруппаАстра
|Запись от 2024/03/27 23:36:02|:,330.9₽,64.85₽,24.38%,ВУШХолдинг
|Запись от 2024/03/27 23:36:09|:,1.408₽,0.25₽,21.59%,Тамбовскаяэнергосбытоваякомпания—привилегированные
|Запись от 2024/03/27 23:36:14|:,4018.8₽,653₽,19.40%,Яндекс
|Запись от 2024/03/27 23:36:19|:,13.48₽,2.18₽,19.29%,Волгоградэнергосбыт—привилегированные
|Запись от 2024/03/27 23:36:25|:,183.2₽,28.8₽,18.65%,РуссНефть
|Запись от 2024/03/27 23:36:30|:,1349₽,210₽,18.44%,Варьеганнефтегаз—привилегированные
|Запись от 2024/03/29 18:03:56|:,70.63$,54.63$,341.44%,AMCEntertainment
|Запись от 2024/03/29 18:03:56|:,86₽,48.5₽,129.33%,Липецкаяэнергосбытоваякомпания
|Запись от 2024/03/29 18:04:05|:,70.63$,54.63$,341.44%,AMCEntertainment
|Запись от 2024/03/29 18:04:05|:,86₽,48.5₽,129.33%,Липецкаяэнергосбытоваякомпания
|Запись от 2024/03/29 18:04:07|:,70.63$,54.63$,341.44%,AMCEntertainment
|Запись от 2024/03/29 18:04:07|:,86₽,48.5₽,129.33%,Липецкаяэнергосбытоваякомпания
|Запись от 2024/03/29 18:04:07|:,70.63$,54.63$,341.44%,AMCEntertainment
|Запись от 2024/03/29 18:04:07|:,86₽,48.5₽,129.33%,Липецкаяэнергосбытоваякомпания
|Запись от 2024/03/29 18:04:07|:,70.63$,54.63$,341.44%,AMCEntertainment
|Запись от 2024/03/29 18:04:07|:,86₽,48.5₽,129.33%,Липецкаяэнергосбытоваякомпания
|Запись от 2024/03/29 18:04:08|:,70.63$,54.63$,341.44%,AMCEntertainment
|Запись от 2024/03/29 18:04:08|:,86₽,48.5₽,129.33%,Липецкаяэнергосбытоваякомпания
|Запись от 2024/03/29 18:04:09|:,70.63$,54.63$,341.44%,AMCEntertainment
|Запись от 2024/03/29 18:04:09|:,86₽,48.5₽,129.33%,Липецкаяэнергосбытоваякомпания
|Запись от 2024/03/29 18:04:53|:,70.63$,54.63$,341.44%,AMCEntertainment
|Запись от 2024/03/29 18:04:53|:,86₽,48.5₽,129.33%,Липецкаяэнергосбытоваякомпания
|Запись от 2024/03/29 18:05:30|:,70.63$,54.63$,341.44%,AMCEntertainment
|Запись от 2024/03/29 18:05:30|:,86₽,48.5₽,129.33%,Липецкаяэнергосбытоваякомпания
|Запись от 2024/03/29 18:07:33|:,70.63$,54.63$,341.44%,AMCEntertainment
|Запись от 2024/03/29 18:10:33|:,70.63$,54.63$,341.44%,AMCEntertainment
|Запись от 2024/03/29 18:10:43|:,70.63$,54.63$,341.44%,AMCEntertainment
|Запись от 2024/03/29 18:10:43|:,70.63$,54.63$,341.44%,AMCEntertainment
|Запись от 2024/03/29 18:10:44|:,70.63$,54.63$,341.44%,AMCEntertainment
|Запись от 2024/03/29 18:10:44|:,70.63$,54.63$,341.44%,AMCEntertainment
|Запись от 2024/03/29 18:10:44|:,70.63$,54.63$,341.44%,AMCEntertainment
|Запись от 2024/03/29 18:11:17|:,70.63$,54.63$,341.44%,AMCEntertainment
|Запись от 2024/03/29 18:11:17|:,70.63$,54.63$,341.44%,AMCEntertainment
|Запись от 2024/03/29 18:20:09|:,70.63$,54.63$,341.44%,AMCEntertainment
